Name,South,West,Height
TSU,3.9165,9.8176,-0.1120
TSO,3.9195,9.8189,2.8502
TNU,1.7911,10.4856,-0.1093
TNO,noLoS,noLoS,noLoS
CU,2.5766,5.2816,-0.1131
CO,2.5770,5.2383,2.8445
BU,6.9001,3.8987,-0.1094
BO,noLoS,noLoS,noLoS
AU,5.8567,0.4693,-0.1120
AO,noLoS,noLoS,noLoS
DU,-0.7558,2.3487,-0.1110
DO,noLoS,noLoS,noLoS
NOO,-23.1860,6.9211,2.8337
NOU,-23.1565,6.9172,-0.1214
NWU,-22.4925,9.0996,-0.1106
NWO,noLoS,noLoS,noLoS
SOO,26.1379,-8.1092,2.8357
SOU,26.1325,-8.0808,-0.1260
SWU,26.7883,-5.9074,-0.1238
SWO,noLoS,noLoS,noLoS
P1RO,-4.8401,1.3456,1.8851
P1LO,-5.9752,1.6936,1.8844
P1LU,-5.9768,1.6995,0.9231
P1RU,-4.8345,1.3538,0.9232
P2LU,-2.5311,0.6503,0.9208
P2LO,-2.5350,0.6459,1.8823
P2RO,-1.3959,0.3039,1.8833
P2RU,-1.3868,0.2967,0.9197
ARO,6.6234,3.0305,2.4402
ALO,5.9123,0.7195,2.4391
ALU,5.9103,0.7289,0.6128
ARU,6.6122,3.0218,0.6083
ENU,7.0706,27.7969,-0.1205
ESU,9.2243,27.1504,-0.1149
ESO,noLoS,noLoS,noLoS
ENO,noLoS,noLoS,noLoS
ISO,12.3296,37.3360,2.8534
ISU,12.3296,37.3413,-0.1208
INU,10.1697,38.0061,-0.1199
INO,noLoS,noLoS,noLoS
Ant-N-LO,-20.9116,7.6933,1.6197
Ant-N-RO,-21.0472,7.2643,1.6168
Ant-N-RU,-21.0568,7.2694,1.1678
Ant-N-LU,-20.9140,7.6961,1.1691
Ant-S-LO,24.3864,-6.6091,1.6453
Ant-S-RO,24.4924,-6.1708,1.6447
Ant-S-RU,24.4922,-6.1717,1.1936
Ant-S-LU,24.3893,-6.6101,1.1952
